Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
Community First Medical Center,IL,Healthcare Provider,216047,09/26/2023,Hacking/IT Incident,Network Server,No,
"Tangoe, Inc.",IN,Health Plan,718,09/25/2023,Hacking/IT Incident,Network Server,No,
"Navvis & Company, LLC",MO,Business Associate,2824726,09/22/2023,Hacking/IT Incident,Network Server,Yes,
"Health First, Inc.",FL,Healthcare Provider,14171,09/22/2023,Hacking/IT Incident,Email,No,
Pharm-Pacc Corporation,FL,Business Associate,3749,09/12/2023,Hacking/IT Incident,Network Server,Yes,
Laboratory Corporation of America Holdings dba LabCorp,NC,Healthcare Provider,1431,09/08/2023,Unauthorized Access/Disclosure,Paper/Films,No,
Ryders Health Management LLC ,CT,Healthcare Provider,7252,09/07/2023,Hacking/IT Incident,Network Server,No,
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,315915,09/07/2023,Unauthorized Access/Disclosure,Network Server,No,
Delta Dental of California,CA,Health Plan,501,09/05/2023,Hacking/IT Incident,Network Server,No,
"Georgia Hand, Shoulder & Elbow, PC",GA,Healthcare Provider,20498,09/01/2023,Hacking/IT Incident,Email,No,
"North Mississippi Medical Center, Inc.",MS,Healthcare Provider,950,09/01/2023,Hacking/IT Incident,Email,No,
"PurFoods, LLC",IA,Healthcare Provider,1229333,08/25/2023,Hacking/IT Incident,Network Server,No,
PRIME THERAPEUTICS LLC,MN,Business Associate,6050,08/23/2023,Hacking/IT Incident,Network Server,Yes,
Absolute Dental Services,NC,Business Associate,10037,08/21/2023,Hacking/IT Incident,Email,Yes,
"Advanced Reproductive Health Center Ltd., d/b/a Chicago IVF",IL,Healthcare Provider,2603,08/18/2023,Hacking/IT Incident,Network Server,Yes,
"Aspen Dental Management, Inc.",NY,Business Associate,62183,08/18/2023,Hacking/IT Incident,Network Server,Yes,
"TAG Urgent Care Support Services, LLC",NY,Business Associate,516985,08/18/2023,Hacking/IT Incident,Network Server,Yes,
"Privia Medical Group of Georgia, LLC",GA,Healthcare Provider,212789,08/18/2023,Hacking/IT Incident,Network Server,Yes,
"SouthCoast Medical Group, LLC",GA,Healthcare Provider,501,08/17/2023,Hacking/IT Incident,Network Server,No,
Morris Hospital & Healthcare Centers,IL,Healthcare Provider,248943,08/17/2023,Hacking/IT Incident,Network Server,No,
"Monocacy Valley Dental Brian K. Motz, DDS, PC",MD,Healthcare Provider,4000,08/15/2023,Theft,Laptop,No,
"Nice Pak Products Inc., Health and Welfare Benefits Plan",NJ,Health Plan,8487,08/14/2023,Hacking/IT Incident,Network Server,No,
TRACT Radiology,MS,Business Associate,7810,08/14/2023,Hacking/IT Incident,Network Server,Yes,
VNS Health Plans,NY,Health Plan,103775,08/14/2023,Hacking/IT Incident,Network Server,Yes,
El Centro Del Barrio d/b/a CentroMed,TX,Healthcare Provider,350000,08/11/2023,Hacking/IT Incident,Network Server,No,
Coastal Orthopedics & Sports Medicine of Southwest Florida,FL,Healthcare Provider,203427,08/10/2023,Hacking/IT Incident,Network Server,No,
Allison Transmission Inc. Health Care Program for Hourly Employees / Wellness Program for Salaried Employees,IN,Business Associate,5330,08/10/2023,Hacking/IT Incident,Network Server,Yes,
Unum Group SACE,TN,Health Plan,531732,08/03/2023,Hacking/IT Incident,Network Server,No,
HCA Healthcare,TN,Business Associate,11270000,07/31/2023,Hacking/IT Incident,Network Server,Yes,
"Dean Health Service Company, LLC (referenced herein as ""WellFirst Health"")",MN,Business Associate,1027,07/28/2023,Hacking/IT Incident,Network Server,Yes,
"Florida Health Sciences Center, Inc. dba Tampa General Hospital ",FL,Healthcare Provider,2430920,07/28/2023,Hacking/IT Incident,Network Server,No,
CareSource,OH,Business Associate,3180537,07/27/2023,Unauthorized Access/Disclosure,Network Server,No,
"Family Vision of Anderson, P.A.",SC,Healthcare Provider,62631,07/25/2023,Hacking/IT Incident,Network Server,No,
Bi-Bett Corporation,CA,Business Associate,4722,07/25/2023,Hacking/IT Incident,Email,Yes,
Pennsylvania Department of Human Services,PA,Healthcare Provider,16390,07/21/2023,Unauthorized Access/Disclosure,Network Server,No,
"New England Life Care, Inc.",ME,Healthcare Provider,51854,07/21/2023,Hacking/IT Incident,Network Server,No,
"Mindful Innovations, PLLC",NC,Healthcare Provider,1900,07/20/2023,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Laptop",No,
"Associated Pathologists, LLC dba PathGroup Health Plan",TN,Health Plan,2031,07/18/2023,Hacking/IT Incident,Network Server,Yes,
ACUPUNCTURE AND INTEGRATIVE SOLUTIONS INCORPORATED,OH,Healthcare Provider,750,07/18/2023,Hacking/IT Incident,Network Server,No,
"IVF Michigan, P.C.",MI,Healthcare Provider,9383,07/18/2023,Hacking/IT Incident,Network Server,No,
East Houston Medicine and Pediatrics Clinic,TX,Healthcare Provider,13184,07/13/2023,Loss,Paper/Films,No,
Kansas Joint & Spine Specialists ,KS,Healthcare Provider,83869,07/12/2023,Hacking/IT Incident,Network Server,No,
Konen & Associates dba Unified Pain Management ,TX,Healthcare Provider,5922,07/12/2023,Hacking/IT Incident,Email,No,
Aria Care Partners ,KS,Healthcare Provider,77405,07/11/2023,Hacking/IT Incident,Network Server,No,
Catholic Charities of the Archdiocese of Newark,NJ,Healthcare Provider,9895,07/07/2023,Hacking/IT Incident,Network Server,No,
"Miracle-Ear Flagship, LLC",MN,Healthcare Provider,3560,07/07/2023,Hacking/IT Incident,Email,No,
"Parsley Health, Inc. ",NY,Business Associate,1004,07/07/2023,Unauthorized Access/Disclosure,Network Server,Yes,
ARx Patient Solutions,KS,Healthcare Provider,41166,06/30/2023,Unauthorized Access/Disclosure,Email,No,
"Mount Desert Island Hospital, Inc.",ME,Healthcare Provider,29952,06/30/2023,Hacking/IT Incident,Network Server,No,
"South Suburban Surgical Suites, LLC",IN,Healthcare Provider,5340,06/30/2023,Hacking/IT Incident,Email,No,
Henrietta Johnson Medical Center,DE,Healthcare Provider,500,06/27/2023,Hacking/IT Incident,Network Server,Yes,
Activate Healthcare LLC,IL,Healthcare Provider,93761,06/23/2023,Hacking/IT Incident,Network Server,No,
Desert Physicians Management,CA,Business Associate,63713,06/22/2023,Hacking/IT Incident,Network Server,Yes,
"Vitra Home Care, LLC",MA,Business Associate,658,06/22/2023,Hacking/IT Incident,Email,Yes,
Murfreesboro Medical Clinic & SurgiCenter,TN,Healthcare Provider,559000,06/21/2023,Hacking/IT Incident,Network Server,No,
"Peachtree Orthopaedic Clinic, P.A.",GA,Healthcare Provider,34691,06/19/2023,Hacking/IT Incident,Network Server,No,
Atrium Health Wake Forest Baptist ,NC,Healthcare Provider,3679,06/16/2023,Hacking/IT Incident,Email,No,
"New Horizons Medical, Inc",MA,Healthcare Provider,12317,06/16/2023,Hacking/IT Incident,Network Server,No,
Uponor North America,MN,Health Plan,1048,06/08/2023,Hacking/IT Incident,Network Server,No,
"Intellihartx, LLC",TN,Business Associate,489830,06/08/2023,Hacking/IT Incident,Network Server,Yes,
"Enzo Clinical Labs, Inc.",NY,Healthcare Provider,2470000,06/05/2023,Hacking/IT Incident,Network Server,No,
"South Jersey Behavorial Health Resources, Inc.",NJ,Healthcare Provider,501,06/04/2023,Hacking/IT Incident,Network Server,No,
"John N. Evans, DPM",MI,Healthcare Provider,15512,06/03/2023,Hacking/IT Incident,Network Server,No,
"CareNet Medical Group, PC",NY,Healthcare Provider,10059,06/02/2023,Hacking/IT Incident,Network Server,No,
Classic Residence Management Limited Partnership,IL,Healthcare Provider,12405,06/02/2023,Hacking/IT Incident,Network Server,No,
Pain Relief Centers PA,NC,Healthcare Provider,7000,06/01/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Builders FirstSource Flex Plan,TX,Health Plan,3763,05/30/2023,Hacking/IT Incident,Network Server,No,
Onix Group,PA,Business Associate,319500,05/26/2023,Hacking/IT Incident,Network Server,Yes,
North Shore Medical Labs,NY,Healthcare Provider,500,05/26/2023,Hacking/IT Incident,Network Server,No,
Asian Health Services,CA,Healthcare Provider,6270,05/25/2023,Hacking/IT Incident,Email,No,
Harvard Pilgrim Health Care,MA,Health Plan,2662337,05/24/2023,Hacking/IT Incident,Network Server,No,
"MedInform, Inc.",OH,Business Associate,14453,05/24/2023,Hacking/IT Incident,Network Server,Yes,
PillPack LLC,NH,Healthcare Provider,19032,05/19/2023,Hacking/IT Incident,Network Server,No,
University of Missouri Health Care ,MO,Healthcare Provider,736,05/17/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Essen Medical Associates, P.C.",NY,Healthcare Provider,500,05/16/2023,Hacking/IT Incident,Network Server,No,
Lehigh Valley Health Network (blackcat),PA,Healthcare Provider,248359,05/15/2023,Hacking/IT Incident,Network Server,No,
"IMA Financial Group, Inc.",KS,Business Associate,5242,05/10/2023,Hacking/IT Incident,Network Server,Yes,
"Our Sunday Visitor, Inc.",IN,Health Plan,965,05/05/2023,Hacking/IT Incident,Network Server,No,
Methodist Family Health,AR,Healthcare Provider,5259,05/03/2023,Hacking/IT Incident,Network Server,No,
Northwest Health – La Porte,IN,Healthcare Provider,10256,05/02/2023,Unauthorized Access/Disclosure,Paper/Films,No,
Allina Health,MN,Healthcare Provider,1042,04/28/2023,Unauthorized Access/Disclosure,Network Server,No,
"University of California, San Francisco",CA,Healthcare Provider,676,04/26/2023,Hacking/IT Incident,Email,No,
"CounSol, LLC",FL,Business Associate,4277,04/25/2023,Unauthorized Access/Disclosure,Network Server,Yes,
"Upstream RollCo, LLC",AL,Healthcare Provider,748678,04/22/2023,Hacking/IT Incident,Email,No,
Robeson Health Care Corporation,NC,Healthcare Provider,62627,04/21/2023,Hacking/IT Incident,Network Server,No,
Modern Cardiology Associates,,Healthcare Provider,10000,04/19/2023,Hacking/IT Incident,Network Server,No,
Graceworks Lutheran Services,OH,Healthcare Provider,6737,04/19/2023,Hacking/IT Incident,Network Server,No,
MiniMed Distribution Corp.,CA,Healthcare Provider,58374,04/14/2023,Unauthorized Access/Disclosure,Network Server,No,
"ProSmile Holdings, LLC",NJ,Business Associate,39674,03/28/2023,Hacking/IT Incident,Email,Yes,
MHMR Authority of Brazos Valley ,TX,Healthcare Provider,78984,02/28/2023,Hacking/IT Incident,Network Server,No,
Shady Lane Nursing Home,NJ,Healthcare Provider,566,02/17/2023,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server",No,
Apria Healthcare LLC,IN,Healthcare Provider,1868831,05/16/2022,Hacking/IT Incident,"Email, Network Server",No,
